WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);;NUMERIEKEWAARDE
16-2-2022;23:40:00;16-2-2022 23:40;2
16-2-2022;23:50:00;16-2-2022 23:50;2
17-2-2022;00:00:00;17-2-2022 00:00;0
17-2-2022;00:10:00;17-2-2022 00:10;4
17-2-2022;00:20:00;17-2-2022 00:20;10
17-2-2022;00:30:00;17-2-2022 00:30;13
17-2-2022;00:40:00;17-2-2022 00:40;19
17-2-2022;00:50:00;17-2-2022 00:50;25
17-2-2022;01:00:00;17-2-2022 01:00;37
17-2-2022;01:10:00;17-2-2022 01:10;50
17-2-2022;01:20:00;17-2-2022 01:20;63
17-2-2022;01:30:00;17-2-2022 01:30;75
17-2-2022;01:40:00;17-2-2022 01:40;91
17-2-2022;01:50:00;17-2-2022 01:50;107
17-2-2022;02:00:00;17-2-2022 02:00;125
17-2-2022;02:10:00;17-2-2022 02:10;145
17-2-2022;02:20:00;17-2-2022 02:20;158
17-2-2022;02:30:00;17-2-2022 02:30;174
17-2-2022;02:40:00;17-2-2022 02:40;185
17-2-2022;02:50:00;17-2-2022 02:50;192
17-2-2022;03:00:00;17-2-2022 03:00;195
17-2-2022;03:10:00;17-2-2022 03:10;194
17-2-2022;03:20:00;17-2-2022 03:20;189
17-2-2022;03:30:00;17-2-2022 03:30;187
17-2-2022;03:40:00;17-2-2022 03:40;184
17-2-2022;03:50:00;17-2-2022 03:50;179
17-2-2022;04:00:00;17-2-2022 04:00;177
17-2-2022;04:10:00;17-2-2022 04:10;174
17-2-2022;04:20:00;17-2-2022 04:20;172
17-2-2022;04:30:00;17-2-2022 04:30;166
17-2-2022;04:40:00;17-2-2022 04:40;161
17-2-2022;04:50:00;17-2-2022 04:50;155
17-2-2022;05:00:00;17-2-2022 05:00;148
17-2-2022;05:10:00;17-2-2022 05:10;142
17-2-2022;05:20:00;17-2-2022 05:20;134
17-2-2022;05:30:00;17-2-2022 05:30;129
17-2-2022;05:40:00;17-2-2022 05:40;123
17-2-2022;05:50:00;17-2-2022 05:50;117
17-2-2022;06:00:00;17-2-2022 06:00;112
17-2-2022;06:10:00;17-2-2022 06:10;110
17-2-2022;06:20:00;17-2-2022 06:20;104
17-2-2022;06:30:00;17-2-2022 06:30;98
17-2-2022;06:40:00;17-2-2022 06:40;94
17-2-2022;06:50:00;17-2-2022 06:50;86
17-2-2022;07:00:00;17-2-2022 07:00;79
17-2-2022;07:10:00;17-2-2022 07:10;71
17-2-2022;07:20:00;17-2-2022 07:20;63
17-2-2022;07:30:00;17-2-2022 07:30;57
17-2-2022;07:40:00;17-2-2022 07:40;51
17-2-2022;07:50:00;17-2-2022 07:50;45
17-2-2022;08:00:00;17-2-2022 08:00;42
17-2-2022;08:10:00;17-2-2022 08:10;39
17-2-2022;08:20:00;17-2-2022 08:20;40
17-2-2022;08:30:00;17-2-2022 08:30;40
17-2-2022;08:40:00;17-2-2022 08:40;43
17-2-2022;08:50:00;17-2-2022 08:50;44
17-2-2022;09:00:00;17-2-2022 09:00;44
17-2-2022;09:10:00;17-2-2022 09:10;46
17-2-2022;09:20:00;17-2-2022 09:20;44
17-2-2022;09:30:00;17-2-2022 09:30;42
17-2-2022;09:40:00;17-2-2022 09:40;42
17-2-2022;09:50:00;17-2-2022 09:50;38
17-2-2022;10:00:00;17-2-2022 10:00;33
17-2-2022;10:10:00;17-2-2022 10:10;27
17-2-2022;10:20:00;17-2-2022 10:20;24
17-2-2022;10:30:00;17-2-2022 10:30;20
17-2-2022;10:40:00;17-2-2022 10:40;18
17-2-2022;10:50:00;17-2-2022 10:50;17
17-2-2022;11:00:00;17-2-2022 11:00;16
17-2-2022;11:10:00;17-2-2022 11:10;16
17-2-2022;11:20:00;17-2-2022 11:20;16
17-2-2022;11:30:00;17-2-2022 11:30;14
17-2-2022;11:40:00;17-2-2022 11:40;14
17-2-2022;11:50:00;17-2-2022 11:50;15
17-2-2022;12:00:00;17-2-2022 12:00;16
17-2-2022;12:10:00;17-2-2022 12:10;17
17-2-2022;12:20:00;17-2-2022 12:20;20
17-2-2022;12:30:00;17-2-2022 12:30;24
17-2-2022;12:40:00;17-2-2022 12:40;29
17-2-2022;12:50:00;17-2-2022 12:50;34
17-2-2022;13:00:00;17-2-2022 13:00;40
17-2-2022;13:10:00;17-2-2022 13:10;46
17-2-2022;13:20:00;17-2-2022 13:20;55
17-2-2022;13:30:00;17-2-2022 13:30;64
17-2-2022;13:40:00;17-2-2022 13:40;74
17-2-2022;13:50:00;17-2-2022 13:50;88
17-2-2022;14:00:00;17-2-2022 14:00;104
17-2-2022;14:10:00;17-2-2022 14:10;123
17-2-2022;14:20:00;17-2-2022 14:20;143
17-2-2022;14:30:00;17-2-2022 14:30;164
17-2-2022;14:40:00;17-2-2022 14:40;184
17-2-2022;14:50:00;17-2-2022 14:50;199
17-2-2022;15:00:00;17-2-2022 15:00;207
17-2-2022;15:10:00;17-2-2022 15:10;211
17-2-2022;15:20:00;17-2-2022 15:20;212
17-2-2022;15:30:00;17-2-2022 15:30;209
17-2-2022;15:40:00;17-2-2022 15:40;204
17-2-2022;15:50:00;17-2-2022 15:50;198
17-2-2022;16:00:00;17-2-2022 16:00;192
17-2-2022;16:10:00;17-2-2022 16:10;188
17-2-2022;16:20:00;17-2-2022 16:20;183
17-2-2022;16:30:00;17-2-2022 16:30;178
17-2-2022;16:40:00;17-2-2022 16:40;175
17-2-2022;16:50:00;17-2-2022 16:50;169
17-2-2022;17:00:00;17-2-2022 17:00;163
17-2-2022;17:10:00;17-2-2022 17:10;156
17-2-2022;17:20:00;17-2-2022 17:20;148
17-2-2022;17:30:00;17-2-2022 17:30;142
17-2-2022;17:40:00;17-2-2022 17:40;136
17-2-2022;17:50:00;17-2-2022 17:50;128
17-2-2022;18:00:00;17-2-2022 18:00;120
17-2-2022;18:10:00;17-2-2022 18:10;111
17-2-2022;18:20:00;17-2-2022 18:20;102
17-2-2022;18:30:00;17-2-2022 18:30;92
17-2-2022;18:40:00;17-2-2022 18:40;82
17-2-2022;18:50:00;17-2-2022 18:50;70
17-2-2022;19:00:00;17-2-2022 19:00;61
17-2-2022;19:10:00;17-2-2022 19:10;53
17-2-2022;19:20:00;17-2-2022 19:20;45
17-2-2022;19:30:00;17-2-2022 19:30;37
17-2-2022;19:40:00;17-2-2022 19:40;30
17-2-2022;19:50:00;17-2-2022 19:50;22
17-2-2022;20:00:00;17-2-2022 20:00;18
17-2-2022;20:10:00;17-2-2022 20:10;14
17-2-2022;20:20:00;17-2-2022 20:20;9
17-2-2022;20:30:00;17-2-2022 20:30;8
17-2-2022;20:40:00;17-2-2022 20:40;7
17-2-2022;20:50:00;17-2-2022 20:50;7
17-2-2022;21:00:00;17-2-2022 21:00;7
17-2-2022;21:10:00;17-2-2022 21:10;10
17-2-2022;21:20:00;17-2-2022 21:20;12
17-2-2022;21:30:00;17-2-2022 21:30;15
17-2-2022;21:40:00;17-2-2022 21:40;16
17-2-2022;21:50:00;17-2-2022 21:50;16
17-2-2022;22:00:00;17-2-2022 22:00;16
17-2-2022;22:10:00;17-2-2022 22:10;15
17-2-2022;22:20:00;17-2-2022 22:20;13
17-2-2022;22:30:00;17-2-2022 22:30;10
17-2-2022;22:40:00;17-2-2022 22:40;8
17-2-2022;22:50:00;17-2-2022 22:50;6
17-2-2022;23:00:00;17-2-2022 23:00;3
17-2-2022;23:10:00;17-2-2022 23:10;1
17-2-2022;23:20:00;17-2-2022 23:20;-1
17-2-2022;23:30:00;17-2-2022 23:30;-1
17-2-2022;23:40:00;17-2-2022 23:40;-1
17-2-2022;23:50:00;17-2-2022 23:50;0
18-2-2022;00:00:00;18-2-2022 00:00;0
18-2-2022;00:10:00;18-2-2022 00:10;1
18-2-2022;00:20:00;18-2-2022 00:20;4
18-2-2022;00:30:00;18-2-2022 00:30;4
18-2-2022;00:40:00;18-2-2022 00:40;4
18-2-2022;00:50:00;18-2-2022 00:50;6
18-2-2022;01:00:00;18-2-2022 01:00;7
18-2-2022;01:10:00;18-2-2022 01:10;10
18-2-2022;01:20:00;18-2-2022 01:20;13
18-2-2022;01:30:00;18-2-2022 01:30;16
18-2-2022;01:40:00;18-2-2022 01:40;21
18-2-2022;01:50:00;18-2-2022 01:50;28
18-2-2022;02:00:00;18-2-2022 02:00;32
18-2-2022;02:10:00;18-2-2022 02:10;38
18-2-2022;02:20:00;18-2-2022 02:20;45
18-2-2022;02:30:00;18-2-2022 02:30;53
18-2-2022;02:40:00;18-2-2022 02:40;63
18-2-2022;02:50:00;18-2-2022 02:50;76
18-2-2022;03:00:00;18-2-2022 03:00;89
18-2-2022;03:10:00;18-2-2022 03:10;104
18-2-2022;03:20:00;18-2-2022 03:20;119
18-2-2022;03:30:00;18-2-2022 03:30;132
18-2-2022;03:40:00;18-2-2022 03:40;141
18-2-2022;03:50:00;18-2-2022 03:50;146
18-2-2022;04:00:00;18-2-2022 04:00;146
18-2-2022;04:10:00;18-2-2022 04:10;146
18-2-2022;04:20:00;18-2-2022 04:20;142
18-2-2022;04:30:00;18-2-2022 04:30;137
18-2-2022;04:40:00;18-2-2022 04:40;130
18-2-2022;04:50:00;18-2-2022 04:50;127
18-2-2022;05:00:00;18-2-2022 05:00;124
18-2-2022;05:10:00;18-2-2022 05:10;119
18-2-2022;05:20:00;18-2-2022 05:20;113
18-2-2022;05:30:00;18-2-2022 05:30;108
18-2-2022;05:40:00;18-2-2022 05:40;103
18-2-2022;05:50:00;18-2-2022 05:50;94
18-2-2022;06:00:00;18-2-2022 06:00;85
18-2-2022;06:10:00;18-2-2022 06:10;76
18-2-2022;06:20:00;18-2-2022 06:20;65
18-2-2022;06:30:00;18-2-2022 06:30;56
18-2-2022;06:40:00;18-2-2022 06:40;46
18-2-2022;06:50:00;18-2-2022 06:50;35
18-2-2022;07:00:00;18-2-2022 07:00;25
18-2-2022;07:10:00;18-2-2022 07:10;14
18-2-2022;07:20:00;18-2-2022 07:20;2
18-2-2022;07:30:00;18-2-2022 07:30;-8
18-2-2022;07:40:00;18-2-2022 07:40;-20
18-2-2022;07:50:00;18-2-2022 07:50;-30
18-2-2022;08:00:00;18-2-2022 08:00;-39
18-2-2022;08:10:00;18-2-2022 08:10;-47
18-2-2022;08:20:00;18-2-2022 08:20;-54
18-2-2022;08:30:00;18-2-2022 08:30;-57
18-2-2022;08:40:00;18-2-2022 08:40;-61
18-2-2022;08:50:00;18-2-2022 08:50;-65
18-2-2022;09:00:00;18-2-2022 09:00;-68
18-2-2022;09:10:00;18-2-2022 09:10;-69
18-2-2022;09:20:00;18-2-2022 09:20;-69
18-2-2022;09:30:00;18-2-2022 09:30;-68
18-2-2022;09:40:00;18-2-2022 09:40;-65
18-2-2022;09:50:00;18-2-2022 09:50;-61
18-2-2022;10:00:00;18-2-2022 10:00;-58
18-2-2022;10:10:00;18-2-2022 10:10;-54
18-2-2022;10:20:00;18-2-2022 10:20;-49
18-2-2022;10:30:00;18-2-2022 10:30;-46
18-2-2022;10:40:00;18-2-2022 10:40;-44
18-2-2022;10:50:00;18-2-2022 10:50;-44
18-2-2022;11:00:00;18-2-2022 11:00;-43
18-2-2022;11:10:00;18-2-2022 11:10;-44
18-2-2022;11:20:00;18-2-2022 11:20;-46
18-2-2022;11:30:00;18-2-2022 11:30;-48
18-2-2022;11:40:00;18-2-2022 11:40;-50
18-2-2022;11:50:00;18-2-2022 11:50;-51
18-2-2022;12:00:00;18-2-2022 12:00;-49
18-2-2022;12:10:00;18-2-2022 12:10;-52
18-2-2022;12:20:00;18-2-2022 12:20;-52
18-2-2022;12:30:00;18-2-2022 12:30;-51
18-2-2022;12:40:00;18-2-2022 12:40;-50
18-2-2022;12:50:00;18-2-2022 12:50;-47
18-2-2022;13:00:00;18-2-2022 13:00;-42
18-2-2022;13:10:00;18-2-2022 13:10;-38
18-2-2022;13:20:00;18-2-2022 13:20;-31
18-2-2022;13:30:00;18-2-2022 13:30;-23
18-2-2022;13:40:00;18-2-2022 13:40;-13
18-2-2022;13:50:00;18-2-2022 13:50;-1
18-2-2022;14:00:00;18-2-2022 14:00;12
18-2-2022;14:10:00;18-2-2022 14:10;26
18-2-2022;14:20:00;18-2-2022 14:20;45
18-2-2022;14:30:00;18-2-2022 14:30;67
18-2-2022;14:40:00;18-2-2022 14:40;91
18-2-2022;14:50:00;18-2-2022 14:50;114
18-2-2022;15:00:00;18-2-2022 15:00;139
18-2-2022;15:10:00;18-2-2022 15:10;160
18-2-2022;15:20:00;18-2-2022 15:20;178
18-2-2022;15:30:00;18-2-2022 15:30;187
18-2-2022;15:40:00;18-2-2022 15:40;192
18-2-2022;15:50:00;18-2-2022 15:50;190
18-2-2022;16:00:00;18-2-2022 16:00;184
18-2-2022;16:10:00;18-2-2022 16:10;178
18-2-2022;16:20:00;18-2-2022 16:20;170
18-2-2022;16:30:00;18-2-2022 16:30;163
18-2-2022;16:40:00;18-2-2022 16:40;157
18-2-2022;16:50:00;18-2-2022 16:50;152
18-2-2022;17:00:00;18-2-2022 17:00;151
18-2-2022;17:10:00;18-2-2022 17:10;154
18-2-2022;17:20:00;18-2-2022 17:20;154
18-2-2022;17:30:00;18-2-2022 17:30;153
18-2-2022;17:40:00;18-2-2022 17:40;152
18-2-2022;17:50:00;18-2-2022 17:50;148
18-2-2022;18:00:00;18-2-2022 18:00;144
18-2-2022;18:10:00;18-2-2022 18:10;136
18-2-2022;18:20:00;18-2-2022 18:20;128
18-2-2022;18:30:00;18-2-2022 18:30;126
18-2-2022;18:40:00;18-2-2022 18:40;124
18-2-2022;18:50:00;18-2-2022 18:50;120
18-2-2022;19:00:00;18-2-2022 19:00;116
18-2-2022;19:10:00;18-2-2022 19:10;111
18-2-2022;19:20:00;18-2-2022 19:20;107
18-2-2022;19:30:00;18-2-2022 19:30;103
18-2-2022;19:40:00;18-2-2022 19:40;95
18-2-2022;19:50:00;18-2-2022 19:50;88
18-2-2022;20:00:00;18-2-2022 20:00;83
18-2-2022;20:10:00;18-2-2022 20:10;77
18-2-2022;20:20:00;18-2-2022 20:20;74
18-2-2022;20:30:00;18-2-2022 20:30;71
18-2-2022;20:40:00;18-2-2022 20:40;70
18-2-2022;20:50:00;18-2-2022 20:50;71
18-2-2022;21:00:00;18-2-2022 21:00;74
18-2-2022;21:10:00;18-2-2022 21:10;76
18-2-2022;21:20:00;18-2-2022 21:20;78
18-2-2022;21:30:00;18-2-2022 21:30;78
18-2-2022;21:40:00;18-2-2022 21:40;77
18-2-2022;21:50:00;18-2-2022 21:50;77
18-2-2022;22:00:00;18-2-2022 22:00;78
18-2-2022;22:10:00;18-2-2022 22:10;75
