"hx","slr0","slr25","slr50"
431,0.00618724320947317,0.00522799177933753,0.00436662350460504
432,0.00597014235119264,0.0050390882330944,0.00420400242575014
433,0.00576090120219752,0.00485722692801405,0.00404762958469163
434,0.00555922647726681,0.00468213727802669,0.00389725755498516
435,0.00536483616051142,0.004513559402609,0.00375264899871319
436,0.005177459059859,0.00435124369104234,0.00361357624331582
437,0.00499683437969134,0.00419495038489903,0.00347982087666898
438,0.00482271131077949,0.00404444917797642,0.00335117335959889
439,0.00465484863688403,0.00389951883293205,0.00322743265505976
440,0.00449301435726079,0.00375994681389613,0.00310840587324357
441,0.0043369853244517,0.00362552893438639,0.00299390793191467
442,0.0041865468966964,0.00349606901986954,0.00288376123130041
443,0.00404149260438569,0.00337137858433223,0.00277779534289768
444,0.00390162382994874,0.00325127652027912,0.00267584671158017
445,0.00376674950063172,0.00313558880158027,0.00257775837042751
446,0.00363668579364518,0.00302414819861574,0.00248337966771517
447,0.00351125585314294,0.00291679400519695,0.00239256600553139
448,0.00339028951855358,0.00281337177677599,0.0023051785895164
449,0.00327362306382017,0.00271373307944156,0.00222108418923495
450,0.00316109894707184,0.00261773524926756,0.00214015490871777
451,0.00305256557029243,0.00252524116155939,0.00206226796673192
452,0.00294787704861021,0.00243611900959062,0.00198730548635229
453,0.00284689298878105,0.00235024209242174,0.00191515429343336
454,0.00274947827650851,0.00226748861142356,0.00184570572359277
455,0.00265550287221994,0.00218774147513434,0.00177885543733702
456,0.0025648416149735,0.00211088811209892,0.00171450324297839
457,0.00247737403415682,0.00203682029136587,0.0016525529270035
458,0.00239298416864009,0.00196543395030535,0.00159291209157508
459,0.00231156039311742,0.00189662902944576,0.00153549199885394
460,0.00223299525131404,0.00183030931404848,0.00148020742185051
461,0.00215718529578091,0.00176638228211268,0.00142697650152512
462,0.00208403093403731,0.00170475895857269,0.00137572060986568
463,0.00201343628076112,0.00164535377539754,0.00132636421868682
464,0.00194530901581902,0.0015880844373749,0.00127883477390711
465,0.00187956024789249,0.00153287179332318,0.0012330625750655
466,0.00181610438344304,0.00147963971251619,0.00118898065985584
467,0.00175485900084338,0.0014283149660983,0.00114652469346499
468,0.00169574472944722,0.00137882711328874,0.00110563286250576
469,0.00163868513338539,0.00133110839216899,0.00106624577335201
470,0.00158360659992685,0.00128509361486939,0.00102830635468931
471,0.00153043823219234,0.0012407200669744,0.000991759764096489
472,0.00147911174607396,0.00119792741096536,0.000956553298491203
473,0.00142956137115791,0.00115665759353556,0.000922636308276159
474,0.00138172375552603,0.00111685475662737,0.000889960115023292
475,0.00133553787425278,0.00107846515202858,0.00085847793255267
476,0.00129094494147064,0.00104143705937843,0.00082814479125759
477,0.00124788832584044,0.00100572070745708,0.000798917465542281
478,0.0012063134693141,0.000971268198611375,0.00077075440423735
479,0.00116616780903356,0.000938033436194918,0.0007436156638706
480,0.00112740070226325,0.000905972054893733,0.000717462844670225
481,0.00108996335422917,0.000875041353825323,0.000692259029186237
482,0.00105380874873018,0.000845200232296839,0.000667968723423229
483,0.00101889158143842,0.000816409128105544,0.000644557800373091
484,0.000985168195783981,0.000788629958292097,0.000621993445851121
485,0.00095259652127222,0.000761826062236404,0.000600244106540471
486,0.000921136014214285,0.000735962147000557,0.000579279440145797
487,0.000890747600714503,0.000711004234837609,0.000559070267577955
488,0.000861393621838902,0.000686919612763903,0.000539588527073587
489,0.000833037780908708,0.000663676784123157,0.000520807230180442
490,0.000805645092789353,0.000641245422060566,0.000502700419520496
491,0.000779181835140808,0.00061959632481734,0.000485243128264812
492,0.000753615501511984,0.000598701372788835,0.000468411341243646
493,0.000728914756240151,0.000578533487266775,0.000452181957627307
494,0.000705049391060086,0.000559066590794521,0.000436532755110575
495,0.000681990283376566,0.000540275569078763,0.000421442355539314
496,0.000659709356114702,0.000522136234387904,0.000406890191920972
497,0.000638179539099282,0.00050462529038342,0.000392856476758463
498,0.00061737473190937,0.00048772029831845,0.000379322171654928
499,0.000597269768127573,0.000471399644558779,0.000366268958138294
500,0.000577840380954653,0.000455642509365362,0.000353679209653679
501,0.00055906317012111,0.000440428836893325,0.000341535964673678
502,0.000540915570051759,0.000425739306353812,0.000329822900885346
503,0.000523375819232008,0.000411555304297928,0.00031852431040591
504,0.000506422930727002,0.000397858897971282,0.000307625075987028
505,0.00049003666381453,0.000384632809703689,0.000297110648165511
506,0.000474197496692641,0.000371860392289536,0.000286967023322982
507,0.000458886600195996,0.000359525605315492,0.000277180722618287
508,0.000444085812520978,0.000347612992403934,0.000267738771752901
509,0.000429777614881388,0.000336107659339224,0.000258628681541917
510,0.000415945108094729,0.00032499525302343,0.000249838429251525
511,0.000402571990018474,0.000314261941255833,0.000241356440675466
512,0.000389642533863199,0.000303894393281601,0.00023317157291991
513,0.000377141567287298,0.000293879761085414,0.000225273097865908
514,0.000365054452300173,0.000284205661409409,0.000217650686285653
515,0.000353367065878629,0.000274860158452461,0.000210294392583577
516,0.000342065781345324,0.000265831747238265,0.000203194640136073
517,0.000331137450409136,0.000257109337612471,0.000196342207208322
518,0.000320569385891867,0.000248682238856435,0.000189728213424334
519,0.00031034934508023,0.000240540144882728,0.000183344106765126
520,0.000300465513720205,0.000232673119999971,0.000177181651078495
521,0.000290906490575615,0.000225071585214343,0.000171232914074726
522,0.000281661272570455,0.000217726305054011,0.000165490255793932
523,0.000272719240497876,0.000210628374896049,0.000159946317520698
524,0.000264070145220119,0.000203769208769189,0.000154594011132381
525,0.000255704094417997,0.000197140527623096,0.000149426508861961
526,0.00024761153979469,0.000190734348039512,0.000144437233459138
527,0.000239783264772919,0.000184542971371049,0.000139619848732675
528,0.000232210372636654,0.000178558973289666,0.000134968250461442
529,0.000224884275107584,0.000172775193729158,0.000130476557655523
530,0.000217796681346583,0.000167184727206893,0.000126139104158374
531,0.000210939587348413,0.000161780913512932,0.000121950430571727
532,0.000204305265734561,0.000156557328742535,0.000117905276493246
533,0.000197886255919766,0.000151507776672943,0.000113998573053165
534,0.000191675354625387,0.000146626280458806,0.000110225435740796
535,0.000185665606756702,0.000141907074643233,0.000106581157503616
536,0.000179850296602613,0.000137344597460287,0.00010306120211534
537,0.000174222939355317,0.000132933483435793,9.96611977974737e-05
538,0.000168777272942622,0.000128668556255596,9.63769310843299e-05
539,0.000163507250160677,0.000124544821908601,9.32043409259675e-05
540,0.000158407031080277,0.000120557462074289,9.01395130142868e-05
541,0.000153470975738923,0.000116701827769128,8.71786743291691e-05
542,0.000148693637106456,0.000112973433219699,8.4318187889787e-05
543,0.000144069754272946,0.000109367949969408,8.1554547709084e-05
544,0.000139594245927244,0.000105881201198699,7.8884373938326e-05
545,0.000135262204033371,0.000102509156264752,7.63044081993902e-05
546,0.000131068887756047,9.92479254328105e-05,7.38115090918035e-05
547,0.000127009717601156,9.60937548077911e-05,7.14026478718655e-05
548,0.00012308026976382,9.30430214584055e-05,6.90749042968619e-05
549,0.000119276270679203,9.00922287089267e-05,6.68254626249309e-05
550,0.000115593591783369,8.72380016184726e-05,6.46516077680293e-05
551,0.00011202824443779,8.44770826158303e-05,6.25507215894494e-05
552,0.000108576375059011,8.18063273017033e-05,6.05202793422244e-05
553,0.000105234260404652,7.92227004030588e-05,5.8557846241869e-05
554,0.000101998303049911,7.67232718759114e-05,5.66610741672413e-05
555,9.88650270008495e-05,7.4305213152992e-05,5.48276984875251e-05
556,9.58310734811008e-05,7.19657935254192e-05,5.30555350080064e-05
557,9.28931968675606e-05,6.97023766607074e-05,5.13424770295368e-05
558,9.00482607604225e-05,6.75124172473396e-05,4.96864925206841e-05
559,8.72932342144139e-05,6.5393457758578e-05,4.80856213940228e-05
560,8.46251880726179e-05,6.33431253402872e-05,4.65379728864512e-05
561,8.20412914639412e-05,6.13591288078918e-05,4.50417230344335e-05
562,7.95388084031678e-05,5.94392557540235e-05,4.35951122478295e-05
563,7.7115094522906e-05,5.75813697611949e-05,4.21964429709876e-05
564,7.4767593905678e-05,5.57834077182795e-05,4.08440774337659e-05
565,7.24938360552319e-05,5.40433772294735e-05,3.95364354833783e-05
566,7.02914329460125e-05,5.23593541212897e-05,3.82719925005048e-05
567,6.8158076202085e-05,5.07294800424773e-05,3.70492773900111e-05
568,6.60915343493329e-05,4.91519601398815e-05,3.58668706483822e-05
569,6.40896501922228e-05,4.76250608338891e-05,3.47234025009913e-05
570,6.21503382638444e-05,4.61471076607101e-05,3.3617551111198e-05
571,6.02715823712074e-05,4.47164831999247e-05,3.25480408530643e-05
572,5.8451433233353e-05,4.33316250757487e-05,3.15136406485728e-05
573,5.668800618297e-05,4.19910240283539e-05,3.05131623690169e-05
574,5.49794789803659e-05,4.06932220551326e-05,2.95454592906808e-05
575,5.33240896738452e-05,3.9436810623017e-05,2.86094246124691e-05
576,5.17201345480167e-05,3.82204289368637e-05,2.77039900243858e-05
577,5.01659661478193e-05,3.70427622783387e-05,2.68281243305246e-05
578,4.86599913660513e-05,3.59025403968705e-05,2.59808321227961e-05
579,4.72006695919625e-05,3.47985359671066e-05,2.51611525027284e-05
580,4.57865109428912e-05,3.37295630917778e-05,2.43681578506738e-05
581,4.44160745349809e-05,3.26944758646253e-05,2.36009526393133e-05
582,4.30879668271711e-05,3.16921669836212e-05,2.28586722917923e-05
